location,list_price,unit_price,number_bedroom,number_bathroom,area,type
"Sepang, Selangor",300000.0,33572.0,3.0,2.0,89.372,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",380000.0,31462.0,5.0,3.0,120.772,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,55022.0,,,41.82,Condo
"Johor Bahru, Johor",290000.0,59232.0,1.0,1.0,48.962,Condo
"Johor Bahru, Johor",680000.0,151112.0,1.0,1.0,452.0,Condo
"Johor Bahru, Johor",730000.0,51052.0,3.0,2.0,1432.0,House
"Sepang, Selangor",380000.0,31462.0,4.0,3.0,120.772,Condo
"Sepang, Selangor",380000.0,31462.0,4.0,3.0,120.772,Condo
"Putrajaya, Putrajaya",230000.0,55022.0,2.0,1.0,41.82,Condo
"Johor Bahru, Johor",510000.0,31882.0,3.0,,1602.0,House
"Putrajaya, Putrajaya",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",380000.0,31462.0,5.0,3.0,120.772,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",230000.0,55022.0,2.0,1.0,41.82,Condo
"Sepang, Selangor",300000.0,33572.0,3.0,2.0,89.372,Condo
"Sepang, Selangor",230000.0,49522.0,2.0,1.0,46.452,Condo
"Sepang, Selangor",380000.0,31462.0,5.0,3.0,120.772,Condo
"Putrajaya, Putrajaya",230000.0,49522.0,2.0,1.0,46.452,Condo
"Putrajaya, Putrajaya",230000.0,55022.0,2.0,1.0,41.82,Condo
"Petaling, Selangor",400000.0,,3.0,2.0,,Condo
"Johor Bahru, Johor",360000.0,31862.0,3.0,3.0,1132.0,Condo
"Petaling, Selangor",592200.0,,3.0,2.0,,Condo
"Sepang, Selangor",340000.0,,4.0,2.0,,Condo
"Sepang, Selangor",340000.0,,4.0,2.0,,Condo
"Seremban, Negeri Sembilan",320000.0,,4.0,3.0,,Condo
"Sepang, Selangor",340000.0,,4.0,2.0,,Condo
"Sepang, Selangor",340000.0,,4.0,2.0,,Condo
"Sepang, Selangor",340000.0,,4.0,2.0,,Condo
"Seremban, Negeri Sembilan",320000.0,,4.0,2.0,,Condo
"Sepang, Selangor",230000.0,,2.0,1.0,,Condo
"Johor Bahru, Johor",380000.0,34552.0,5.0,3.0,109.992,Condo
"Sepang, Selangor",300000.0,33572.0,3.0,2.0,89.372,Condo
"Kuala Lumpur, Kuala Lumpur",1000000.0,,4.0,3.0,,Condo
"Sepang, Selangor",380000.0,31462.0,4.0,3.0,120.772,Condo
"Petaling, Selangor",660000.0,45832.0,4.0,3.0,1442.0,House
"Putrajaya, Putrajaya",230000.0,49522.0,2.0,1.0,46.452,Condo
"Petaling, Selangor",430000.0,,3.0,2.0,,Condo
"Petaling, Selangor",400000.0,,3.0,2.0,,Condo
"Kuala Lumpur, Kuala Lumpur",420000.0,51972.0,3.0,2.0,80.822,Condo
"Kuala Lumpur, Kuala Lumpur",420000.0,51972.0,3.0,2.0,80.822,Condo
"Kuala Lumpur, Kuala Lumpur",420000.0,51972.0,3.0,2.0,80.822,Condo
"Kuala Lumpur, Kuala Lumpur",420000.0,51972.0,3.0,2.0,80.822,Condo
"Kuala Lumpur, Kuala Lumpur",420000.0,51972.0,3.0,2.0,80.822,Condo
"Kuala Lumpur, Kuala Lumpur",1000000.0,,4.0,3.0,,Condo
"Kuala Lumpur, Kuala Lumpur",1000000.0,,4.0,3.0,,Condo
"Kuala Lumpur, Kuala Lumpur",1000000.0,,4.0,3.0,,Condo
"Kuala Lumpur, Kuala Lumpur",1000000.0,,4.0,3.0,,Condo
"Kuala Lumpur, Kuala Lumpur",1000000.0,,4.0,3.0,,Condo
"Johor Bahru, Johor",2450000.0,52802.0,8.0,8.0,4642.0,House
"Johor Bahru, Johor",958000.0,4352.0,4.0,3.0,22002.0,Villa
"Johor Bahru, Johor",345000.0,3082.0,3.0,,11202.0,House
"Johor Bahru, Johor",468000.0,,4.0,3.0,,House
"Petaling, Selangor",1200000.0,43642.0,5.0,5.0,2752.0,Condo
"Johor Bahru, Johor",688000.0,34752.0,4.0,3.0,1982.0,House
"Johor Bahru, Johor",688000.0,34752.0,4.0,3.0,1982.0,House
"Johor Bahru, Johor",630000.0,34812.0,4.0,3.0,1812.0,House
"Johor Bahru, Johor",630000.0,34812.0,4.0,3.0,1812.0,House
"Kuala Lumpur, Kuala Lumpur",430000.0,,3.0,2.0,,Condo
"Kuala Lumpur, Kuala Lumpur",400000.0,,3.0,2.0,,Condo
"Kuala Lumpur, Kuala Lumpur",700000.0,,4.0,3.0,,Condo
"Kuala Lumpur, Kuala Lumpur",1000000.0,,4.0,3.0,,Condo
"Kuala Lumpur, Kuala Lumpur",700000.0,,4.0,3.0,,Condo
"Johor Bahru, Johor",1500000.0,50512.0,5.0,5.0,2972.0,House
"Johor Bahru, Johor",435000.0,,4.0,3.0,,House
"Kuala Lumpur, Kuala Lumpur",700000.0,,4.0,3.0,,Condo
"Johor Bahru, Johor",3250000.0,59852.0,6.0,7.0,5432.0,Villa
"Johor Bahru, Johor",3250000.0,59852.0,6.0,6.0,5432.0,Villa
"Johor Bahru, Johor",1100000.0,59202.0,4.0,3.0,185.82,Villa
"Kuala Lumpur, Kuala Lumpur",430000.0,,3.0,2.0,,Condo
"Sepang, Selangor",225000.0,,,,,Condo
"Sepang, Selangor",225000.0,,,,,Condo
"Johor Bahru, Johor",738000.0,38642.0,4.0,3.0,1912.0,House
"Kuala Lumpur, Kuala Lumpur",544000.0,,1.0,1.0,,Condo
"Johor Bahru, Johor",928000.0,36392.0,4.0,3.0,2552.0,House
"Johor Bahru, Johor",928000.0,36392.0,4.0,3.0,2552.0,House
"Kuala Lumpur, Kuala Lumpur",567000.0,,1.0,1.0,,Condo
"Kuala Lumpur, Kuala Lumpur",532000.0,,1.0,1.0,,Condo
"Kuala Lumpur, Kuala Lumpur",685000.0,,2.0,1.0,,Condo
"Kuala Lumpur, Kuala Lumpur",862000.0,,2.0,1.0,,Condo
"Kuala Lumpur, Kuala Lumpur",719000.0,,2.0,1.0,,Condo
"Putrajaya, Putrajaya",400000.0,,3.0,2.0,,Condo
"Putrajaya, Putrajaya",592200.0,,3.0,3.0,,Condo
"Putrajaya, Putrajaya",340000.0,,4.0,2.0,,Condo
"Putrajaya, Putrajaya",210000.0,,1.0,1.0,,Condo
"Kuala Lumpur, Kuala Lumpur",696000.0,,2.0,1.0,,Condo
"Kuala Lumpur, Kuala Lumpur",575000.0,,2.0,1.0,,Condo
"Kuala Lumpur, Kuala Lumpur",707000.0,,2.0,1.0,,Condo
"Johor Bahru, Johor",578000.0,44462.0,5.0,,1302.0,House
"Kuala Lumpur, Kuala Lumpur",612000.0,,2.0,1.0,,Condo
"Kuala Lumpur, Kuala Lumpur",568000.0,,2.0,1.0,,Condo
"Johor Bahru, Johor",2050000.0,45972.0,,6.0,445.922,Commercial
"Putrajaya, Putrajaya",340000.0,,4.0,2.0,,Condo
"Putrajaya, Putrajaya",340000.0,,4.0,2.0,,Condo
"Putrajaya, Putrajaya",210000.0,,1.0,1.0,,Condo
"Johor Bahru, Johor",1200000.0,35882.0,,2.0,334.442,Commercial
"Johor Bahru, Johor",2750000.0,17862.0,,2.0,15402.0,Commercial
"Johor Bahru, Johor",5600000.0,,1.0,6.0,,Commercial
"Kuala Langat, Selangor",450000.0,,4.0,3.0,,House
"Kuala Lumpur, Kuala Lumpur",17139000.0,162072.0,,,1057.482,Office
"Kuala Lumpur, Kuala Lumpur",1655000.0,159202.0,,,103.962,Office
"Kuala Lumpur, Kuala Lumpur",1774000.0,161292.0,,,109.992,Office
"Kuala Lumpur, Kuala Lumpur",10050000.0,97572.0,,,1029.982,Office
"Kuala Lumpur, Kuala Lumpur",15700000.0,165102.0,,,950.922,Office
"Kuala Lumpur, Kuala Lumpur",10940000.0,100372.0,,,10902.0,Office
"Kuala Lumpur, Kuala Lumpur",11090000.0,97972.0,,,1131.992,Office
"Kuala Lumpur, Kuala Lumpur",2048200.0,118412.0,,,172.982,Office
"Kuala Lumpur, Kuala Lumpur",957950.0,123782.0,,,77.392,Office
"Kuala Lumpur, Kuala Lumpur",5592000.0,169462.0,,,329.982,Office
"Kuala Lumpur, Kuala Lumpur",1679000.0,166272.0,,,100.982,Office
"Kuala Lumpur, Kuala Lumpur",4284800.0,68892.0,,,621.972,Office
"Kuala Lumpur, Kuala Lumpur",10100000.0,100402.0,,,1006.012,Office
"Johor Bahru, Johor",1050000.0,,5.0,5.0,,Villa
"Kuala Lumpur, Kuala Lumpur",197000.0,,2.0,1.0,,Condo
Johor,580000.0,,,4.0,,Commercial
"Klang, Selangor",14262504.0,,,,18928.382,
"Klang, Selangor",31889269.0,,,,42321.622,
"Johor Bahru, Johor",990000.0,61812.0,,,160.162,Commercial
"Klang, Selangor",17626764.0,,,,23393.232,
"Johor Bahru, Johor",2500000.0,54702.0,,,4572.0,Commercial
"Johor Bahru, Johor",435000.0,,,2.0,,Commercial
"Johor Bahru, Johor",5000000.0,,,,5411.972,
"Johor Bahru, Johor",2800000.0,50702.0,,,552.312,Commercial
"Johor Bahru, Johor",4224690.0,,,,43612.0,
"Kuala Lumpur, Kuala Lumpur",2100000.0,57072.0,,,3682.0,Commercial
"Pontian, Johor",6783722.0,,,,331702.0,
"Johor Bahru, Johor",9852727.0,,,,16642.72,
"Seremban, Negeri Sembilan",350000.0,1942.0,4.0,4.0,18002.0,House
"Kuala Lumpur, Kuala Lumpur",510000.0,5002.0,3.0,2.0,10212.0,Apartment
"Kinta, Perak",448800.0,28772.0,4.0,4.0,1562.0,House
"Kinta, Perak",308800.0,33572.0,4.0,2.0,922.0,House
"Kinta, Perak",478000.0,26852.0,4.0,4.0,1782.0,House
"Kinta, Perak",195500.0,26422.0,3.0,2.0,742.0,House
"Kinta, Perak",195500.0,26422.0,3.0,2.0,742.0,House
"Kinta, Perak",278880.0,30022.0,4.0,2.0,92.92,House
"Kinta, Perak",448800.0,28772.0,4.0,4.0,1562.0,House
"Kinta, Perak",408800.0,22972.0,4.0,4.0,1782.0,House
"Penampang, Sabah",811170.0,,5.0,3.0,2292.0,House
Johor,1190000.0,3502.0,4.0,4.0,34002.0,House
"Kinta, Perak",328800.0,35352.0,4.0,2.0,932.0,House
"Kinta, Perak",478000.0,26852.0,4.0,4.0,1782.0,House
"Papar, Sabah",290000.0,36252.0,3.0,2.0,802.0,House
"Kinta, Perak",520000.0,28112.0,5.0,4.0,1852.0,House
"Kinta, Perak",208000.0,17222.0,3.0,2.0,120.772,Apartment
"Kinta, Perak",298800.0,32132.0,4.0,2.0,932.0,House
"Kinta, Perak",478000.0,26852.0,4.0,4.0,1782.0,House
"Ulu Langat, Selangor",800000.0,3902.0,5.0,4.0,20522.0,House
"Keningau, Sabah",360000.0,22502.0,3.0,2.0,1602.0,House
"Ulu Langat, Selangor",164000.0,2292.0,3.0,1.0,7152.0,Apartment
"Kuala Muda, Kedah",380000.0,22752.0,4.0,3.0,1672.0,House
"Kinta, Perak",358800.0,21362.0,4.0,4.0,1682.0,House
"Kinta, Perak",378000.0,42472.0,3.0,2.0,892.0,House
"Penampang, Sabah",2278888.0,46592.0,5.0,6.0,489.132,House
"Kinta, Perak",628000.0,24142.0,5.0,4.0,260.132,House
"Gombak, Selangor",837000.0,4742.0,4.0,3.0,17642.0,House
"Kinta, Perak",438000.0,27382.0,4.0,4.0,1602.0,House
"Ulu Selangor, Selangor",580000.0,2422.0,4.0,3.0,24002.0,House
"Kuala Lumpur, Kuala Lumpur",828000.0,37142.0,4.0,4.0,222.962,House
"Gombak, Selangor",760000.0,38962.0,4.0,3.0,195.092,House
"Kuala Lumpur, Kuala Lumpur",1080000.0,45062.0,4.0,4.0,239.682,House
"Kuala Lumpur, Kuala Lumpur",1188000.0,204622.0,1.0,1.0,58.062,Condo
"Kinta, Perak",358000.0,38542.0,4.0,2.0,92.92,House
"Kuala Lumpur, Kuala Lumpur",768000.0,39372.0,4.0,3.0,195.092,House
"Kuala Lumpur, Kuala Lumpur",1150000.0,47612.0,4.0,4.0,241.542,House
"Kuala Lumpur, Kuala Lumpur",828000.0,37142.0,4.0,4.0,222.962,House
"Gombak, Selangor",820000.0,36782.0,4.0,4.0,222.962,House
"Kuala Lumpur, Kuala Lumpur",545000.0,54572.0,3.0,2.0,99.872,Condo
"Kinta, Perak",218800.0,21412.0,4.0,2.0,102.192,House
"Gombak, Selangor",828000.0,37142.0,4.0,4.0,222.962,House
"Alor Gajah, Melaka",900000.0,295962.0,1.0,1.0,30.412,Condo
"Kuala Lumpur, Kuala Lumpur",928000.0,41622.0,4.0,4.0,222.962,House
"Gombak, Selangor",828800.0,38792.0,4.0,4.0,213.672,House
"Kuala Lumpur, Kuala Lumpur",1430000.0,207192.0,1.0,1.0,69.022,Condo
"Kuala Lumpur, Kuala Lumpur",420000.0,28262.0,3.0,2.0,148.642,Condo
"Johor Bahru, Johor",468000.0,5022.0,3.0,2.0,9332.0,Condo
"Kuala Lumpur, Kuala Lumpur",4200000.0,126892.0,4.0,5.0,3312.0,Condo
"Gombak, Selangor",780000.0,39982.0,4.0,4.0,195.092,House
"Kuala Lumpur, Kuala Lumpur",520040.0,45222.0,3.0,2.0,115.012,Condo
"Gombak, Selangor",768800.0,38492.0,4.0,3.0,199.732,House
"Gombak, Selangor",828800.0,38792.0,4.0,4.0,213.672,House
"Kuala Lumpur, Kuala Lumpur",475000.0,18942.0,3.0,3.0,250.832,Townhouse
